region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
US,male,United States,strongly agree,probably yes,yes,does not apply to me ,,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,agree,agree,strongly agree,agree,probably yes,24,united states,high school,fourth year+,2,yes ,4,12 hours,5,4,2,3,3,5,4,2.33333333333333,3.66666666666667,3,3.25
BC,other,British Columbia,agree,definitely yes,yes,extremely comfortable,important,,yes,yes but i cant describe it well,both,very important,definitely yes,definitely yes,definitely not,,no particular variety,,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,definitely yes,29,canada,undergraduate degree,fourth year+,7,yes ,8,24 hours,5,5,4,4,5,5,5,5,5,5,5
PE,female,Prince Edward Island,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,british english,always,yes,,definitely yes,probably yes,agree,agree,strongly agree,agree,definitely yes,29,canada,graduate degree,first year,0,no,,24 hours,5,4,4,4,4,5,4,5,5,4,4.5
QC,female,New Brunswick,somewhat agree,definitely not,yes,extremely uncomfortable,important,that depends ,yes,yes but i cant describe it well,both,,,probably yes,probably not,,british english,often,yes,yes,definitely yes,might or might not,strongly agree,strongly agree,neither disagree nor agree,neither disagree nor agree,probably yes,39,canada,graduate degree,i am not currently studying,15,no,,i dont use social media,5,,3,3,,5,,3.66666666666667,3.66666666666667,,3.66666666666667
BC,male,Prince Edward Island,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,always,,definitely not,might or might not,might or might not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,,49,canada,postgraduate degree,i am not currently studying,0,yes ,0,less than 30 minutes,1,5,3,,5,1,5,3.66666666666667,,5,4.55555555555556
NS,male,Prince Edward Island,agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,no,british english,sometimes,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,disagree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,3,2,3,3,3,3,2,3.66666666666667,3.66666666666667,3,3.08333333333333
ON,male,New Brunswick,agree,probably yes,no,,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,,64,canada,undergraduate degree,i am not currently studying,1,no,,12 hours,1,3,3,,3,1,3,3.66666666666667,,3,3.22222222222222
US,male,New Brunswick,agree,probably not,yes,extremely comfortable,,yes,not sure,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably yes,probably not,yes ,no particular variety,sometimes,yes,neither yes or no,definitely yes,probably yes,disagree,strongly disagree,neither disagree nor agree,disagree,probably yes,29,canada,undergraduate degree,i am not currently studying,3,no,,12 hours,3,3,3,3,3,3,3,3.66666666666667,3.66666666666667,3,3.33333333333333
NB,other,Quebec,agree,probably yes,yes,extremely comfortable,important,that depends ,no,,zed,important,definitely yes,,probably not,no,british english,rarely,yes,yes,might or might not,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes,1,5,,3,4,1,5,,3.66666666666667,4,4.22222222222222
BC,other,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,,zee,very important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,might or might not,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,3,no,,46 hours,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
BC,male,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably not,probably yes,no,british english,sometimes,yes,neither yes or no,probably yes,definitely yes,strongly agree,strongly agree,agree,disagree,definitely yes,24,canada,undergraduate degree,i am in a graduate program,5,yes ,3,i dont use social media,5,5,2,4,5,5,5,2.33333333333333,5,5,4.33333333333333
NS,male,New Brunswick,somewhat agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,might or might not,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
NB,male,New Brunswick,agree,definitely not,yes,neither comfortable nor uncomfortable,extremely unimportant,yes,yes,yes but i cant describe it well,zed,very unimportant,definitely not,definitely yes,definitely not,no,british english,often,no,no,probably yes,might or might not,strongly agree,strongly disagree,strongly disagree,strongly agree,definitely yes,49,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,1,4,4,1,5,1,5,5,1,3
UK,female,New Brunswick,strongly agree,neutral,yes,extremely comfortable,important,no,no,,zed,important,probably yes,probably not,probably not,,british english,sometimes,yes,yes,probably yes,probably yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably yes,49,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,4,2,3,4,1,4,2.33333333333333,3.66666666666667,4,3.5
ON,male,Ontario,,probably not,yes,moderately comfortable,,yes,yes,yes but i cant describe it well,both,very important,might or might not,probably yes,probably not,,other ,always,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,3,3,3,5,5,3,3.66666666666667,3.66666666666667,5,3.83333333333333
NS,male,New Brunswick,strongly agree,definitely yes,no,,unimportant,no,no,,zed,very important,might or might not,definitely yes,definitely not,no,british english,often,no,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,39,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,3,4,4,5,1,3,5,5,5,4.5
NS,female,Prince Edward Island,strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,,79,canada,graduate degree,i am not currently studying,0,yes ,12,12 hours,5,5,3,,4,5,5,3.66666666666667,,4,4.22222222222222
NB,male,New Brunswick,strongly agree,definitely yes,yes,moderately uncomfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,,,british english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,disagree,disagree,definitely yes,54,canada,postgraduate degree,i am not currently studying,0,yes ,8,12 hours,5,5,4,4,5,5,5,5,5,5,5
QC,other,New Brunswick,strongly disagreee,definitely yes,yes,extremely comfortable,important,that depends ,not sure,yes but i cant describe it well,zed,neither unimportant nor important,,probably not,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,39,canada,graduate degree,i am not currently studying,5,no,,12 hours,3,,2,3,3,3,,2.33333333333333,3.66666666666667,3,3
PE,female,Nova Scotia,agree,neutral,no,,important,that depends ,not sure,,zed,important,definitely yes,,probably yes,,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,neither disagree nor agree,disagree,disagree,,44,canada,postgraduate degree,i am in a graduate program,0,yes ,11,24 hours,3,5,,,4,3,5,,,4,4.5
NS,female,Prince Edward Island,strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,not sure,,both,neither unimportant nor important,definitely yes,probably yes,definitely not,no,british english,often,yes,yes,probably yes,probably yes,agree,agree,agree,agree,probably yes,29,canada,graduate degree,i am not currently studying,2,no,,12 hours,3,5,3,3,3,3,5,3.66666666666667,3.66666666666667,3,3.83333333333333
ON,female,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,no,no,,zee,neither unimportant nor important,might or might not,probably not,probably yes,no,no particular variety,rarely,,no,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably not,24,canada,undergraduate degree,i am not currently studying,2,yes ,7,46 hours,1,3,2,2,3,1,3,2.33333333333333,2.33333333333333,3,2.66666666666667
ON,female,British Columbia,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,zed,very important,probably yes,probably yes,,,british english,sometimes,yes,no,definitely yes,definitely yes,agree,disagree,agree,neither disagree nor agree,probably yes,19,canada,high school,second year,0,yes ,10,46 hours,5,4,3,3,5,5,4,3.66666666666667,3.66666666666667,5,4.08333333333333
ON,female,Ontario,strongly agree,definitely yes,yes,moderately comfortable,,that depends ,no,,zed,important,probably yes,probably not,probably not,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,19,canada,high school,first year,1,no,,24 hours,1,4,2,4,4,1,4,2.33333333333333,5,4,3.83333333333333
PE,male,Prince Edward Island,agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,undergraduate degree,i am not currently studying,0,yes ,11,24 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
NB,male,Quebec,strongly agree,probably yes,yes,moderately comfortable,unimportant,no,no,,zed,important,definitely yes,definitely yes,definitely not,no,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,i am not currently studying,2,no,,46 hours,1,5,4,3,4,1,5,5,3.66666666666667,4,4.41666666666667
ON,male,New Brunswick,somewhat agree,definitely not,yes,moderately comfortable,important,that depends ,no,,zed,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,,definitely yes,probably yes,strongly agree,agree,disagree,strongly disagree,definitely yes,39,canada,undergraduate degree,i am in a graduate program,1,no,,12 hours,1,5,4,4,4,1,5,5,5,4,4.75
NB,female,New Brunswick,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly agree,probably yes,34,canada,high school,third year,4,yes ,8,less than 30 minutes,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
PE,male,Prince Edward Island,strongly agree,definitely yes,yes,moderately comfortable,,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,definitely yes,definitely not,yes ,no particular variety,often,,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes,5,2,4,3,3,5,2,5,3.66666666666667,3,3.41666666666667
NB,female,New Brunswick,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,both,very important,definitely yes,probably not,probably not,,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,5,2,3,5,5,5,2.33333333333333,3.66666666666667,5,4
PE,female,Prince Edward Island,strongly agree,probably yes,yes,moderately uncomfortable,important,no,no,,zed,neither unimportant nor important,might or might not,probably not,probably yes,yes ,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,disagree,strongly agree,probably not,34,canada,graduate degree,i am not currently studying,0,no,,12 hours,1,3,2,2,3,1,3,2.33333333333333,2.33333333333333,3,2.66666666666667
